text,label
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals que inclouen la forma del ""boteh"" o palmeta persa en disposició radial. Restes de fistó en fil negre en el perímetre.",geometrical_shape
conserva els 2 voravius,flower
segurament correspon a un fragment de faixa femenina.,geometrical_shape
Podria tractar-se d'una mostra de brodat,flower
conserva 1 voraviu,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva un dels voravis,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva 1 voraviu,flower
conserva un voraviu.,flower
conserva 1 voravius,plant
conserva els 2 voravius,flower
conserva 2 voravius,flower
conserva voravius,plant
"Per la seva forma podria tractarse de part de la tapisseria d'una cadira, segurament del seu respatller.",flower
conserva els 2 voravius,flower
conserva un fragment de voraviu.,flower
conserva 1 voraviu,flower
"Fragment de teixit de setí de seda, color cru, amb brodat realçat en seda i diversos tipus de fils metàl·lics entorxats, argentats i daurats creant flors i motius vegetals",flower
Teixit d'estil bizarre.,flower
conserva 2 voravius,plant
Fragment de blonda de color negre amb decoració de petites flors diseminades.,flower
Teixit d\'estil bizarre.,flower
conserva els dos voravius,flower
conserva els dos voravius,flower
"Tafetà de seda brodat en sedes de diferents colors, amb motius florals i petits insectes (papallones?). decoració distribuïda per àrees.",flower
conserva els dos voravius.,flower
conserva els 2 voravius,flower
conserva restes de 1 voraviu,flower
"Tafetà de color granat, brodat a mà amb petits motius florals en sedes de diferents colors.",flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva un dels voravius,flower
"vellut tallat llavorat de 1 cos, brocat",flower
conserva 1 voraviu,flower
"Vellut tallat llavorat de 1 cos
Conserva 1 voraviu",plant
segurament correspon a un fragment de faixa femenina.,geometrical_shape
Banda decorativa bicolor brodada amb motius geomètrics.,geometrical_shape
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva un dels voravius,flower
Conserva els dos voravius laterals: 4 m/m. de 8 fils d'ordit groc.,flower
conserva un dels voravius,flower
La decoració es basa en el motiu budista de la creu esvàstica representada de forma concatenada.,geometrical_shape
conserva els dos voravius,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
"Model: ""Blasco""",flower
conserva fragments de 1 voraviu,flower
conserva els 2 voravius,flower
conserva els dos voravius,flower
conserva fragment de 1 voraviu,flower
conserva 2 voravius,flower
conserva 1 voraviu,flower
Teixit d\'estil bizarre.,flower
conserva 1 voraviu,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 dels voravius,plant
"Fragment de teixit que segurament era un complement, tipus mocador. Fons de malla amb grans motius florals. Presenta un tall recta en la seva meitat potser per poder utilitzar-lo com a llaç.",flower
conserva un dels voravius,flower
conserva 1 voraviu,flower
conserva fragments dels 2 voravius,flower
"Fragment de teixit de setí de seda, color cru, amb brodat realçat en seda i diversos tipus de fils metàl·lics entorxats, argentats i daurats creant flors i motius vegetals",flower
conserva fragment de 1 dels voravius,flower
conserva els 2 voravius,flower
conserva un voraviu.,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva fragments dels 2 voravius,flower
conserva un dels voravius,flower
vellut tallat llavorat de 1 cos,plant
conserva 1 voraviu,flower
conserva els dos voravius.,flower
conserva els 2 voravius,flower
"conserva 2 voravius
- vellut tallat de 1 cos, brocat",flower
"Fragment de teixit de seda brodat amb seda i vidrets sobre un suport de tela de cotó.
El teixit de seda és del tipus denominat ""surah silk"" que compren tots aquells teixits treballats generalment en sarja i que tenen un bon caient. Són utilitzats habitualment en la elaboració de vestits per a dona.",flower
conserva els 2 voravius,flower
conserva 1 dels voravius,plant
"Dues peces separades que formen el davant d'una jupa del segle XVIII. El teixit és de seda groga i fil metàl•lic entorxat daurat que treballa fent el fons. Sobre ell s'han aplicat lluentons distribuïts en grups de tres fent petits triangles. Porta decoració brodada aplicada de mirallets, lluentons i altres petites peces de metall argentat a tot el perímetre de la part central i a les tapetes de les butxaques. 
Una de les parts (-1) té 11 botons folrats del mateix teixit i l'altre part (-2) té 10 traus brodats.
Conserva el folre de coto perxat i les vistes que són de setí de seda.",plant
conserva els dos voravius,flower
conserva 1 voraviu,flower
vellut tallat llavorat de 1 cos,plant
"conserva els 2 voravius, de color verd.",geometrical_shape
conserva els 2 voravius,flower
Conserva voraviu.,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
Conserva els dos voravius,flower
conserva un petit fragment de voraviu,flower
conserva 1 fragment de voraviu,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
es tracta d'un fragment de coixí.,geometrical_shape
conserva els 2 voravius,flower
conserva 1 voraviu,plant
"Mostra de teixit amb treball espolinat, disseny de tipus floral sobre fons de color cru.",flower
conserva 1 voraviu,flower
conserva part de 1 voraviu,flower
Motiu vegetal dins d’una xarxa de compartiments romboïdals de fulles enllaçades. En els punts d’unió s’hi troba una forma similar a una pinya amb decoració interior escacada.,plant
conserva els 2 voravius,flower
Dos fragments de teixit que corresponen als extrems d’un xal de seda de color blau amb els laterals decorats amb una franja llavorada de línies diagonals negres sobre fons de color gris. Una cinta blanca llavorada decora el perímetre i conserva serrells als extrems.,geometrical_shape
conserva els 2 voravius,flower
conserva 2 voravius,plant
conserva 1 voraviu,flower
vellut tallat llavorat de 1 cos,plant
conserva 1 voravius,flower
conserva els 2 voravius,geometrical_shape
conserva 1 voraviu,flower
segurament correspon a un fragment de faixa femenina.,geometrical_shape
conserva un dels voravius,flower
Teixit d\'estil bizarre.,flower
conserva 1 voraviu,flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals que inclouen la forma del ""boteh"" o palmeta persa. Restes de fistó en fil negre en el perímetre.",geometrical_shape
conserva 1 voraviu,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva part d'un dels voravius,flower
conserva 1 voraviu,flower
conserva 1 voraviu,plant
conserva els dos voravius,flower
conserva un dels voravius,flower
conserva fragments dels 2 voravius,flower
"Domàs de seda, de color groc, que devia formar part d'una tapisseria per a cadira. Té una peça rectangular afegida a dos costats i marques de forats provocades per les tatxes.",plant
"Pertany al tipus ""pannus de areste"", draps d'aresta.",geometrical_shape
Kain pandjang procedent de l'illa de Djokdja (arxipèlag de la Sonda / Indonesia),geometrical_shape
conserva un dels voravius,geometrical_shape
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals. Restes de fistó en fil negre en el perímetre.",geometrical_shape
conserva fragments dels 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva 1 dels voravius,flower
"Fragment de tafetà de seda brodat amb sanefes i motius vegetals que inclouen la forma del ""boteh"" o palmeta persa en disposició circular. Restes de fistó en fil negre en el perímetre.
És possible de que es tracti d’un fragment de “choli”, peça que forma part del sari com indumentària habitual de les dones de la India, Nepal, Pakistan, Sri Lanka i Bangladesh. El “choli” queda ajustat a la part superior del cos, deixant l’estomac al descobert. Acostuma a tenir mànigues curtes i no duu coll.",geometrical_shape
conserva 1 voraviu,flower
conserva fragments dels 2 voravius,flower
conserva fragments dels voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
segurament correspon a un fragment de faixa femenina.,flower
conserva 1 voraviu,flower
"conserva els 2 voravius
- vellut llavorat, cisellat de 4 cossos",flower
conserva fragments dels 2 voravius,flower
conserva els dos voravius,flower
"Teixit brodat sobre fons de vellut marró, amb motius vegetals de fil d'argent i aplicació de lluentons i làmines metàl.liques. Folre de tafetà de lli.",plant
"Doble tela, de seda i cotó, teixida en telers de 110 o 120 d'ample, de pic a pic. 2 ordits de cotó, 2 caps, beix i marró, i 2 trames de seda, beix i verd.",flower
"sembla per la imatge que conservi els dos voravius, comprovar.",flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
"Fragment d'una banda amb la representació d'una font d'on surten dues grans fulles, al seu voltant hi ha decoració floral.·A la part inferior hi ha una petita sanefa on es repeteix el motiu d'una fulla. Segurament a la part superior es repetia aquesta mateixa sanefa.",flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva fragments dels 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
"conserva els dos voravius
- ample de peça : 53 cm",flower
conserva un dels voravius,plant
conserva 1 dels voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
Decoració de llunes que formen rombes amb una decoració floral al seu centre.,flower
"Teixit amb forma de cobrecalze, preparat per ser brodat, amb el dibuix realitzat a llapis amb el monograma de Crist, roses i corona d’espines",flower
conserva 1 voraviu,flower
"Fragment de banda que presenta una sanefa central que ocupa la major part del teixit. Aquesta mostra diferents motius geomètrics dels quals en destaca un quadrat amb una estrella de 8 puntes al seu interior. Està emmarcat, per dalt i per baix, d'una sanefa més petita també amb motius geomètrics.",geometrical_shape
conserva part dels 2 voravius,flower
Fragment de banda que presenta decoració de fulles entrellaçades.,plant
conserva 1 voraviu,flower
conserva els 2 voravius,flower
segurament correspon a un fragment de faixa femenina.,geometrical_shape
conserva 1 voraviu,flower
conserva els 2 voravius,flower
"8 fragments de teixit de seda llavorada, cosits en format rectangular. Motius florals, garlandes i fullatge.",flower
Dos fragments de teixit cosits sobre una tela de suport. Per la seva forma deduïm que eren part d’una dalmàtica.,flower
vellut tallat llavorat de 1 cos,flower
conserva un voraviu.,flower
conserva els 2 voravius,flower
"Banda brodada: fons cru, i decoració de motius geomètrics en color vermell.",geometrical_shape
conserva els 2 voravius,flower
Podria tractar-se d'una mostra de brodat,flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals. Restes de fistó en fil negre en el perímetre.",geometrical_shape
conserva 1 voraviu,flower
conserva 1 dels voravius,flower
conserva els dos voravius,flower
conserva els dos voravius,flower
conserva els 2 voravius,flower
conserva fragments dels 2 voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius?,flower
conserva els 2 voravius,flower
conserva un dels voravius,flower
conserva 2 voravius,plant
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
"densitat d'ordit: 46 fils/cm.
- densitat de trama: 29 passades/cm.
- ample de la peça: 73 cm.
- voraviu: 0,5 cm. (tafetà de seda, ordit groc i trama cru)",flower
conserva els 2 voravius,flower
conserva els 2 voravius,plant
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els dos voravius,flower
conserva 1 voraviu,flower
conserva un fragment de voraviu,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva fragments dels 2 voravius,plant
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva 2 voravius,plant
conserva els dos voravius,flower
conserva un dels voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
"vellut llavorat, cisellat de 5 cossos",flower
"Teixit de seda de forma quadrada,brodat amb motius vegetals estilitzats que recorden petits arbres. Inclou una sanefa perimetral excepte a un dels laterals a on es pot veure el voraviu del teixit de base.",flower
conserva 1 voraviu,flower
conserva els dos voravius,flower
"Volant de tul brodat que devia formar part d’un vestit. Decoració de cintes de setí de seda blau cel i de vellut negre, pedreria i aplicacions de guipur. Porta folre de tafetà de seda de color verd. És més alt d’un costat que de l’altre.",geometrical_shape
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb una sanefa ique inclou la forma del ""boteh"" o palmeta persa. Restes de fistó en fil negre en el perímetre.",geometrical_shape
Teixit d\'estil bizarre.,flower
Es tracta de 12 fragments aprox. engantxats sobre una tela.,flower
conserva els 2 voravius,flower
"Model ""RICA"", inspirat en un diseny del segle XVIII, fabricat per l'empresa Garín de Valencia a mitjans del segle XIX",flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els dos voravius.,flower
Peça de tela procedent de la part posterior d'una casulla.,flower
conserva els 2 voravius,flower
conserva un dels voravius.,flower
conserva fragment de 1 voraviu,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva fragments dels 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva un dels voravius,flower
Es tracta de 2 fragments de teixit que probablement formaven part de les mànigues una dalmàtica,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
sembla que conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva voravius,flower
conserva els 2 voravius,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva un dels voravius,flower
conserva un dels voravius,flower
conserva els voravius,flower
Fragment de teixit de seda amb trama d'or. Decoració formada per elements florals disposats a quatre camins alternant flors amb fil de seda i fulles vegetals amb fil d'or.,flower
"Segurament es tracta d'un teixit fet a la Xina per al mercat japonès, o fet al Japó per teixidors xinesos. Es podria tractar de part d'una bandera.
Els aus fènix o grulles en tondos de diferents colors acostumen a tenir un context religiós o ritual.",flower
conserva un dels voravius,flower
conserva fragments dels 2 voravius,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva els dos voravius,flower
Es tracta de dues tires cosides que presenten la mateixa decoració geomètrica.,geometrical_shape
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
vellut tallat llavorat de 1 cos,plant
conserva 1 voraviu,flower
"densitat d'ordit: 46 fils/cm.
- densitat de trama: 29 passades/cm.
- ample de peça: 73.
- voraviu: 0,5 cm. (tafetà de seda, ordit groc i trama color cru).",flower
conserva els 2 voravius,flower
Podria tractar-se d'una mostra de brodat,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva 1 voraviu,flower
conserva els dos voravius.,flower
conserva els 2 voravius,plant
conserva 1 voraviu,flower
conserva els 2 voravius,flower
Vellut tallat llavorat de 1 cos,plant
conserva fragment de 1 voraviu,flower
conserva els dos voravius,flower
conserva 1 dels voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva 1 voraviu,flower
conserva els voravius,flower
conserva 1 voraviu,flower
"Banda brodada: fons tafetà cru, de lli, amb motius geomètrics brodats en fil de seda de colors blau i verd.",geometrical_shape
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,plant
conserva els 2 voravius,flower
"Fragment de teixit de setí de seda, color cru, amb brodat realçat en seda i diversos tipus de fils metàl·lics entorxats, argentats i daurats creant flors i motius vegetals",flower
conserva un dels voravius,flower
"Tafetà de color verd brodat amb sedes de color groc i rosa fosc, de flors diseminades en sembrat emmarcades per 2 franges laterals.",flower
conserva els dos voravius,flower
"Fragment de teixit brodat del tipus conegut com a ""suzani"" que es caracteritza pel tipus de brodat i els grans motius florals, propis de la zona d’Uzbekistan (Àsia Central)",flower
conserva els dos voravius.,flower
conserva 2 voravius,flower
conserva 1 voraviu,plant
vellut tallat llavorat de 1 cos,plant
"S'ha restaurat i s'han unit en un únic suport aquest teixit i el reg.3931
- És el mateix teixit que el reg.3931.
- La seva decoració té relació amb la sèrie de teixits de Las Huelgas però no pertany a cap peça d'aquest grup",flower
conserva els 2 voravius,flower
Conserva els dos voravius.,flower
conserva els 2 voravius,flower
Teixit de seda amb decoració de lamineta metàl·lica aplicada fent treball de llaceries. Teixit de suport de fibra vegetal.,geometrical_shape
conserva els 2 voravius,flower
conserva part dels dos voravius.,flower
conserva 1 voraviu,flower
conserva els dos voravius,flower
conserva part dels dos voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
"vellut llavorat, cisellat, de 4 cossos",flower
conserva 1 voraviu,flower
"Faixa masculina de les denominades ""faixes de Kontusz""",flower
conserva 1 voraviu,plant
conserva 1 voraviu,flower
conserva els 2 voravius,flower
"Fragment del que podria ser un ""gara sari"" de la comunitat ""parsee"", Surat (India).",flower
Conserva els dos voravius.,flower
conserva els dos voravius,flower
"vellut tallat llavorat de 1 cos
- conserva 1 voraviu",flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
La decoració es basa en el motiu budista de la creu esvàstica representada de forma concatenada.,geometrical_shape
conserva fragment de voraviu,flower
conserva els dos voravius,flower
conserva els 2 voravius,flower
"Batista de cotó, brodada amb seda. Motius vegetals i florals. Blanc sobre blanc.",flower
conserva 1 voraviu,flower
Conserva els dos voravius laterals.,flower
conserva 1 dels voravius,flower
sembla que conserva un dels voravius,flower
conserva un dels voravius,flower
conserva els 2 voravius,plant
conserva els 2 voravius,flower
vellut tallat de 1 cos,plant
conserva els 2 voravius?,flower
conserva els 2 voravius,plant
conserva 1 voraviu,flower
conserva 1 voraviu,flower
vellut tallat llavorat de 1 cos,plant
conserva els 2 voravius,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva fragmnents dels 2 voravius,flower
"Anàlisi tècnica feta pel Sr. A.Bargalló (2009) :
- densitat d'ordit : 24/26 fils cm. seda, 500 den. aprox.
- densitat de trama: 18/20 pass. cm. seda, 1000 den. aprox.
Llisos passats a punta/retorn/retorn en sarja de 4, mateix peu que el passat.",geometrical_shape
conserva els 2 voravius,flower
conserva un dels voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
"Fragment de teixit de setí de seda, color cru, amb brodat realçat en seda i diversos tipus de fils metàl·lics entorxats, argentats i daurats creant flors i motius vegetals",flower
conserva 1 fragment de voraviu,geometrical_shape
conserva restes de 1 voraviu,geometrical_shape
conseva un voraviu,flower
"Vellut tallat llavorat de 1 cos
- Conserva 1 voraviu",plant
Motius florals i vegetals de clara inspiració oriental.,flower
conserva els 2 voravius,flower
Teixit d\'estil bizarre.,flower
conserva els 2 voravius,plant
conserva un dels voravius,flower
conserva 1 voraviu,flower
conserva 1 dels voravius,flower
conserva els 2 voravius,geometrical_shape
conserva els 2 voravius,flower
conserva 1 fragment de voraviu,flower
"Petit fragment de faixa femenina. Fons de color vermell i decoració amb un motiu molt característic : el minrab, que ja es troba a la iconografia marroquí des del segle XVII. Abans de la franja final on es troba la mà de Fàtima entre elements vegetals i florals hi ha una sanefa més estreta on s'alternen trèvols i altres decoracions florals, que possiblement és el símbol distintintiu del taller on es va fabricar.segurament correspon a un fragment de faixa.",flower
conserva un dels voravius.,flower
conserva 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva fragments del voraviu,flower
conserva un dels voravius,plant
conserva un dels voravius,flower
Vellut tallat llavorat de 1 cos,plant
conserva 1 voraviu,geometrical_shape
vellut tallat llavorat de 1 cos,plant
conserva un dels voravius,flower
conserva 1 voraviu,flower
conserva els dos voravius,flower
sembla que conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva fragments dels voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
"es tracta de 3 peces cosides entre elles, conserva dos dels voravius",flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
"densitat d'ordit: ? fils/cm.
- densitat de trama: 49 passades/cm.
- voraviu: 1 cm.",flower
conserva 1 voraviu,flower
"Conserva els dos voravius.
El teixit presenta un to general violat degut a que se'l va sotmetre a un bany de tint en peça, seguramente per ser reaprofitat per a indumentària litúrgica.",flower
Conserva un dels voravius,flower
conserva els 2 voravius,flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell amb motius vegetals que inclouen la forma del ""boteh"" o palmeta persa en disposició circular.",geometrical_shape
Teixit d\'estil bizarre.,flower
conserva un dels voravius,flower
conserva part dels voravius,flower
conserva 1 dels voravius,geometrical_shape
conserva un dels voravius,flower
conserva part d'un voraviu,flower
Pot tractar-se de la part inferior d'una peça d'indumentària femenina,flower
Fragment de teixit de cotó brodat amb motius florals en sedes de colors i lluentons.,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva 1 fragment de voraviu,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva 1 voraviu,flower
"densitat d'ordit: 60 fils/cm.
- densitat de trama: 43 passades/cm.
- voraviu: 0,6 cm
 mides: sèrie de 3 : A: 18 x 22; B: 24 x 15; C: 15 x 16",flower
"incorpora un galó de passamaneria
- conserva fragments de voraviu",flower
conserva 1 voraviu,flower
conserva 2 voravius,plant
conserva 1 voraviu,flower
Teixit d\'estil bizarre.,flower
Teixit d\'estil bizarre.,flower
Fragment de banda rectangular que presenta com a decoració motius vegetals.,plant
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
segurament es tracta d'un fragment de coixí o de cobrellit.,geometrical_shape
conserva part dels voravius,flower
conserva un dels voravius,flower
conserva un voraviu.,flower
conserva els 2 voraviu,flower
conserva 1 voraviu,flower
conserva 1 voraviu,geometrical_shape
conserva 1 voraviu,flower
vellut tallat llavorat de 1 cos,plant
Motius florals i vegetals de clara inspiració oriental.,flower
conserva els 2 voravius,flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals que inclouen la forma del ""boteh"" o palmeta persa. Restes de fistó en fil negre en el perímetre.",geometrical_shape
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
"ample de peça: 52,5 cm
- conserva els 2 voravius",plant
conserva 1 voraviu,plant
conserva 1 voraviu,flower
"vellut tallat de 1 cos, espolinat",flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva fragments dels 2 voravius,flower
conserva petit fragment de 1 dels voravius,flower
conserva un voraviu.,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
Dos fragments de teixit de seda units sobre un únic supot. Decoració de tiges ondulants que s'enllacen entre si amb fulles i petites flors.,flower
conserva 1 voraviu,flower
conserva 1 voraviu,flower
conserva fragments dels 2 voravius,flower
conserva els dos voravius.,flower
